"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-02",,,"0.03",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-10",,,"2.75","0.0","0.0"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-11",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-19",,,"0.25","2.8","6.5"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-20",,,"0.05","1.5","7.5"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-01-24",,,"0.00","0.0","2.5"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-02-12",,,"0.03",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-02-16",,,"0.00",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-02-17",,,"0.22","2.2","2.0"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-05",,,"0.26",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-07","    2","0.82",,,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-08",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-09",,,"0.00","0.0","0.0"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-10",,,"1.04","0.0","0.0"
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-27",,,"0.00",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-03-28",,,"0.84",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-04-01",,,"0.49",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-04-02",,,"0.62",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-04-03",,,"0.65",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-04-04",,,"1.40",,
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-04-24",,,"0.00","0.0",
"US1MDAA0063","SEVERN 1.0 SSE, MD US","2024-05-01",,,"0.19",,
